a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios,cluster_id
172,1094216,H. Liu,,,,A5083090200,H. Liu,1
2494,1093204,H. Li,,,,A5060648451,H. Li,1
4224,1080368,H. Li,,,,A5031670438,H. Li,1
5967,1082111,H. Liu,,,,A5013724204,H. Liu,1
6422,1082566,H. Li,,,,A5060102997,H. Li; Han‐Ze Li,1
7170,1083314,H. Li,,,,A5074655361,H. Li,1
7250,1083394,H. Liu,,,,A5091082746,H. Liu,1
7264,1083408,H. Liu,,,,A5069755870,H. Liu,1
7308,1083452,H. Li,,,,A5046405742,H. Li; Han lin Li,1
9538,1086634,H Li,,,,A5005609655,H Li,1
10108,1087204,H Liu,,,,A5004167298,H Liu,1
10124,1087220,H Li,,,,A5008479291,H Li,1
10375,1087471,H. Li,,,,A5007701545,H. Li,1
10383,1087479,H. Liu,,,,A5012590412,H. Liu,1
10646,1087876,H. Liu,,,,A5011333747,H. Liu,1
10714,1087944,H. Li,,,,A5042278771,H. Li,1
10964,1088194,H. Li,,,,A5062480765,H. Li,1
11071,1088301,H. Li,,,,A5078442883,H. Li,1
11076,1088306,H. Liu,,,,A5083448454,H. Liu,1
11234,1088464,H. Li,,,,A5043324681,H. Li,1
11251,1088481,H. Liu,,,,A5056281158,H. Liu,1
11268,1088498,H. Li,,,,A5065305397,H. Li,1
11316,1088546,H. Li,,,,A5051141170,H. Li,1
11428,1088658,H Li,,,,A5062189695,H Li,1
11452,1088682,H Liu,,,,A5078139868,H Liu,1
11705,1088937,H. Li,,,,A5087082528,H. Li,1
11718,1088950,H. Li,,,,A5039365884,H. Li,1
11848,1089211,H Li,,,,A5029300946,H Li,1
12029,1089392,H. Li,,,,A5004076014,H. Li,1
12068,1089431,H. Liu,,,,A5074603071,H. Liu,1
12108,1089473,H. Liu,,,,A5038805841,H. Liu,1
12151,1089516,H. Li,,,,A5016296099,H. Li,1
12197,1089562,H. Liu,,,,A5050038028,H. Liu,1
12318,1089683,H. Li,,,,A5050298445,H. Li,1
12400,1089765,H. Liu,,,,A5035127379,H. Liu,1
12410,1089775,H. Li,,,,A5041248536,H. Li,1
12470,1089835,H. Li,,,,A5009335865,H. Li,1
12695,1090060,H. Liu,,,,A5024171558,H. Liu,1
12771,1090136,H. Li,,,,A5091024500,H. Li,1
12788,1090153,H Liu,,,,A5014825939,H Liu,1
12905,1090270,H Li,,,,A5078035166,H Li,1
12943,1090308,H Li,,,,A5029088714,H Li,1
12959,1090324,H Liu,,,,A5040610065,H Liu,1
13102,1090475,H. Li,,,,A5085470953,H. Li,1
13128,1090501,H Liu,,,,A5050860992,H Liu,1
13187,1090560,H. Liu,,,,A5055275272,H. Liu,1
13188,1090561,H. Li,,,,A5061576788,H. Li,1
13211,1090584,H. Li,,,,A5029575757,H. Li,1
13357,1090730,H. Li,,,,A5084680106,H. Li,1
13418,1090791,H. Li,,,,A5013938211,H. Li,1
13660,1091033,H. Liu,,,,A5087421502,H. Liu,1
13728,1091101,H. Liu,,,,A5051255669,H. Liu,1
13763,1091136,H. Li,,,,A5084950997,H. Li,1
13795,1091168,H. Liu,,,,A5034903817,H. Liu,1
13818,1091191,H. Li,,,,A5071978876,H. Li,1
13901,1091298,H Li,,,,A5042583442,H Li,1
13950,1091347,H. Li,,,,A5062978230,H. Li,1
14000,1091397,H. Li,,,,A5071873603,H. Li,1
14108,1091505,H Liu,,,,A5079731539,H Liu,1
14328,1091764,H. Li,,,,A5058690798,H. Li,1
14504,1091961,H. Li,,,,A5057865426,H. Li,1
14544,1092001,H. Liu,,,,A5016725302,H. Liu,1
14564,1092021,H. Li,,,,A5053951965,H. Li,1
14938,1092431,H. Li,,,,A5085923252,H. Li,1
14958,1092451,H. Li,,,,A5017137207,H. Li,1
15044,1092537,H. Li,,,,A5018860989,H. Li,1
15070,1092563,H. Liu,,,,A5055385354,H. Liu,1
15113,1092606,H. Liu,,,,A5040038369,H. Liu,1
15129,1092622,H. Li,,,,A5071138532,H. Li,1
15139,1092632,H. Li,,,,A5002112245,H. Li,1
15192,1092685,H. Li,,,,A5040909310,H. Li,1
15277,1092770,H. Li,,,,A5082352759,H. Li,1
15479,1092995,H. Li,,,,A5023205734,H. Li,1
15492,1093008,H. Liu,,,,A5011011827,H. Liu,1
15524,1093040,H. Liu,,,,A5011900603,H. Liu,1
15566,1093082,H. Li,,,,A5069292681,H. Li,1
15568,1093084,H. Liu,,,,A5071466747,H. Liu,1
15649,1093165,H. Liu,,,,A5005966377,H. Liu,1
15810,1093580,H. Liu,,,,A5006799185,H. Liu,1
15815,1093585,H. Li,,,,A5018324059,H. Li,1
15850,1093620,H. Li,,,,A5000782507,H. Li,1
15931,1093709,H. Li,,,,A5056389745,H. Li,1
16013,1093791,H. Liu,,,,A5011460340,H. Liu,1
16031,1093809,H. Liu,,,,A5039775118,H. Liu,1
16034,1093812,H. Li,,,,A5042853700,H. Li,1
16114,1093892,H. Li,,,,A5076081746,H. Li,1
16154,1093990,H. Li,,,,A5013324777,H. Li,1
16174,1094010,H. Liu,,,,A5057959309,H. Liu,1
16203,1094039,H. Li,,,,A5002548050,H. Li,1
16215,1094051,H. Li,,,,A5003730241,H. Li,1
16275,1094111,H. Li,,,,A5053261279,H. Li,1
16290,1094126,H. Li,,,,A5003527285,H. Li,1
16404,1094240,H. Li,,,,A5084512641,H. Li,1
16462,1094298,H. Liu,,,,A5022725151,H. Liu,1
16487,1094323,H. Li,,,,A5068299381,H. Li,1
16641,1094506,H. Li,,,,A5066385421,H. Li,1
16683,1094653,H. Liu,,,,A5042387833,H. Liu,1
16701,1094671,H. Li,,,,A5081648568,H. Li,1
16717,1094687,H. Li,,,,A5036740703,H. Li,1
16738,1094708,H. Li,,,,A5072490032,H. Li,1
16747,1094717,H. Li,,,,A5012034575,H. Li,1
16788,1094758,H. Li,,,,A5014781329,H. Li,1
16833,1094803,H. Li,,,,A5042490017,H. Li,1
17050,1095049,H. Li,,,,A5076359539,H. Li,1
17087,1095086,H. Liu,,,,A5043224006,H. Liu,1
17120,1095119,H. Li,,,,A5087758912,H. Li,1
17168,1095167,H. Liu,,,,A5068991065,H. Liu,1
17205,1095204,H. Liu,,,,A5031002543,H. Liu,1
17220,1095219,H. Li,,,,A5055458348,H. Li,1
17294,1095293,H. Liu,,,,A5052551013,H. Liu,1
17305,1095304,H. Li,,,,A5060553801,H. Li,1
17345,1095344,H. Li,,,,A5010957907,H. Li,1
17381,1095380,H. Liu,,,,A5062363251,H. Liu,1
17492,1095496,H. Liu,,,,A5069180207,H. Liu,1
17532,1095536,H. Liu,,,,A5032596566,H. Liu,1
17534,1095538,H. Li,,,,A5033179546,H. Li,1
17567,1095571,H. Liu,,,,A5085242012,H. Liu,1
17572,1095576,H. Liu,,,,A5003603268,H. Liu,1
17624,1095628,H. Li,,,,A5069311803,H. Li,1
17657,1095661,H. Liu,,,,A5025298870,H. Liu,1
17784,1095788,H. Liu,,,,A5091853167,H. Liu,1
17793,1095797,H. Li,,,,A5006368191,H. Li,1
17815,1095819,H. Li,,,,A5026179140,H. Li,1
17901,1095905,H. Liu,,,,A5088627372,H. Liu,1
17904,1095908,H. Li,,,,A5049492478,H. Li,1
18018,1096022,H. Li,,,,A5064813039,H. Li,1
18022,1096026,H. Liu,,,,A5071761041,H. Liu,1
18027,1096031,H. Liu,,,,A5083603621,H. Liu,1
18044,1096051,H. Li,,,,A5012621966,H. Li,1
18099,1096107,H. Li,,,,A5013616114,H. Li,1
18181,1096189,H. Li,,,,A5027766894,H. Li,1
18225,1096233,H. Li,,,,A5089154043,H. Li,1
18302,1096310,H. Liu,,,,A5009682000,H. Liu,1
18318,1096326,H. Li,,,,A5028408462,H. Li,1
18348,1096356,H. Li,,,,A5070211783,H. Li,1
18396,1096404,H. Li,,,,A5057750652,H. Li,1
18445,1096453,H. Li,,,,A5045012452,H. Li,1
18520,1096530,H. Li,,,,A5042992583,H. Li,1
18569,1096579,H. Liu,,,,A5005499405,H. Liu,1
18641,1096651,H. Li,,,,A5050587569,H. Li,1
18655,1096665,H. Liu,,,,A5075041195,H. Liu,1
18668,1096679,H. Li,,,,A5008126824,H. Li,1
18678,1096689,H. Liu,,,,A5028748624,H. Liu,1
18721,1096732,H. Li,,,,A5072103158,H. Li,1
