,org_id,org_name,ror
0,1,ИПУ РАН,https://ror.org/05f3yt521
1,1001503,Newcastle University,
2,1003557,Mississippi State University,
3,1001510,Institute for Theoretical and Experimental Physics,
4,48,Белорусский ГУ,https://ror.org/021036w13
5,1003580,Collaborative Innovation Center of Quantum Matter,
6,1001535,University of Münster,
7,1001536,University of Padua,
8,1003586,North Sichuan Medical University,
9,5015621,Москва,
10,72,Воронежский ГТУ,https://ror.org/01m20f643
11,73,Воронежский ГУ,https://ror.org/0543j5e78
12,5005387,Москва,
13,5005388,Москва,
14,1001554,University of Genoa,
15,82,ВШЭ,https://ror.org/055f7t516
16,5025882,Новосибирск,
17,5025883,Киев,
18,5025884,Киев,
19,5025885,Москва,
20,5025886,Москва,
21,97,ГУУ,https://ror.org/00nxz6d14
22,101,Джавад Джи Эн Эс Эс,
23,103,Елецкий ГУ,https://ror.org/014f6m860
24,5001345,Харьковский горный институт,
25,1001601,Tokyo Institute of Technology,
26,1001603,University of Manchester,
27,1001604,Kharkiv Institute of Physics and Technology,
28,1003651,University of Sharjah,
29,1003657,Consejo Nacional de Investigaciones Científicas y Técnicas,
30,143,ИПС РАН,https://ror.org/040r4cv22
31,1001616,University of Notre Dame,
32,144,ИПТМУ ФИЦ СНЦ РАН,https://ror.org/03s28ec08
33,1003670,Ørsted (Denmark),
34,151,Иркутский национальный исследовательский технический университет,https://ror.org/01zzkcm34
35,1001623,University of Buenos Aires,
36,1001624,Fundación Ciencias Exactas y Naturales,
37,1001629,Argonne National Laboratory,
38,165,Калужский филиал МГТУ,
39,1001646,Johannes Gutenberg University Mainz,
40,2478,Московский институт электроники и математики,
41,2232,"Институт микробиологии им. С.Н. Виноградского, ФИЦ биотехнологии РАН",
42,1001656,University of Arizona,
43,5017786,"Всесоюзный научно-исследовательский институт ядерной геофизики и геохимии, г. Москва",
44,5017787,"Всесоюзный научно-исследовательский институт ядерной геофизики и геохимии, г. Москва",
45,189,МАИ,https://ror.org/033zpbv42
46,2480,Московский институт электроники и математики (МИЭМ НИУ ВШЭ),
47,193,МГТУ,https://ror.org/00pb8h375
48,195,МГУ,https://ror.org/010pmpe69
49,1001668,University of Turin,
50,1001670,Oregon State University,
51,1001671,University of Warwick,
52,5001415,"Институт фармакологии и химиотерапии Академии медицинских наук СССР, г. Москва",
53,5021897,Минск,
54,1001674,"University at Buffalo, State University of New York",
55,5021898,Минск,
56,199,МИИТ,https://ror.org/05gba0366
57,1001673,New York University,
58,1001677,University of Sydney,
59,1001678,University of New Mexico,
60,1001672,Coventry (United Kingdom),
61,1001684,Aix-Marseille University,
62,1001685,Université de Toulon,
63,1001690,Southern Methodist University,
64,219,Московский технический университет связи и информатики,https://ror.org/015zw2f19
65,220,Московский технологический институт,https://ror.org/04sw4z761
66,1003740,Universidade Federal de Santa Catarina,
67,224,МФТИ,https://ror.org/00v0z9322
68,1001700,Chemnitz University of Technology,
69,1001705,The University of Tokyo,
70,1003760,University of Salento,
71,1001717,University of Bari Aldo Moro,
72,246,НИЦ Институт имени Жуковского,
73,2491,Московский Университет МВД России им. В.Я. Кикотя,
74,251,Новосибирский ГТУ,https://ror.org/01b2f6h61
75,1003774,Pontifical Catholic University of Rio de Janeiro,
76,255,НПК Технологический центр,https://ror.org/01pq8wx80
77,256,НПК Фотрон-Авто,
78,1003775,Pontificia Universidad Católica de Chile,
79,1003782,Shahid Beheshti University,
80,1001737,Texas A&M University,
81,1003786,"University at Albany, State University of New York",
82,5011727,Москва,
83,5011728,Москва,
84,1001750,University of Technology Sydney,
85,1003800,University of Thessaly,
86,5001500,Институт прикладной математики Гамбургского университета,
87,1001757,Indian Institute of Science Bangalore,
88,1001756,Group of Study of Condensed Matter,
89,1001759,PSL Research University,
