a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios
0,1,Нижегородцев Роберт Михайлович,0000-0003-3798-4835,N-1776-2017,36968164900,,
1,2,Пащенко Федор Федорович,0000-0001-8898-2720,E-3466-2018,6701555696,,
2,3,Клочков Владислав Валерьевич,0000-0003-4149-7562,N-6339-2017,14042038800,,
3,4,Цыганов Владимир Викторович,0000-0001-9274-0548,9214-2016,57086320300,,
4,5,Новиков Дмитрий Александрович,0000-0002-9314-3304,,7102213403,,
5,6,Кульба Владимир Васильевич,0000-0002-5076-6536,Y-9558-2019,24356086800,,
6,7,Бурков Владимир Николаевич,0000-0001-6633-3762,O-3015-2017,7007087674,,
7,8,Швец Юрий Юрьевич,0000-0002-6557-1416,,56529416000,,
8,9,Ратнер Светлана Валерьевна,0000-0003-3485-5595,T-3982-2019,7004582325,,
9,10,Туровский Ярослав Александрович,0000-0002-5290-885X,AAQ-1746-2020,56136046200,,
10,11,Лазарев Александр Алексеевич,0000-0003-0979-8189,M-5079-2013,7101908181,,
11,12,Васильев Станислав Николаевич,,,6603565134,,
12,13,Вишневский Владимир Миронович,0000-0001-7373-4847,E-9771-2014,8423079400,,
13,15,Гусев Владислав Борисович,0000-0001-6382-7441,,55489819100,,
14,16,Алескеров Фуад Таги Оглы,0000-0002-3120-9478,F-7381-2014,7003947309,,
15,17,Дорофеюк Александр Александрович,,,,,
16,18,Фархадов Маис Паша Оглы,0000-0002-7166-9567,S-7814-2016,57195741457,,
17,19,Краснова Светлана Анатольевна,0000-0002-4265-8279,B-4464-2017,6701865769,,
18,21,Секерин Владимир Дмитриевич,0000- 0002-2803-3651,C-7426-2014,56088643300,,
19,22,Райков Александр Николаевич,0000-0002-6726-9616,AAG-2288-2019,36806473600,,
20,23,Дорофеюк Юлия Александровна,,,,,
21,24,Мещеряков Роман Валерьевич,0000-0002-1129-8434,P-4918-2014,23035794100,,
22,26,Хлебников Михаил Владимирович,0000-0001-9086-1426,K-3819-2014,25654973600,,
23,27,Поляк Борис Теодорович,0000-0002-1898-2984,G-6541-2011,7005072117,,
24,29,Пащенко Александр Федорович,0000-0002-6299-4894,G-1585-2017,55539837600,,
25,30,Уткин Виктор Анатольевич,0000-0002-2008-0234,B-4463-2017,35358885500,,
26,31,Швец Ирина Юрьевна,0000-0002-9602-9582,,56681876800,,
27,32,Цвиркун Анатолий Данилович,,HKE-7783-2023,6603508199,,
28,33,Горидько Нина Павловна,0000-0001-8961-0232,Y-9997-2019,55858889200,,
29,35,Буркова Ирина Владимировна,0000-0002-4671-0847,Y-4046-2018,6507681113,,
30,37,Жарко Елена Филипповна,0000-0002-8895-4786,C-2210-2018,12645397200,,
31,38,Кононов Дмитрий Алексеевич,0000-0002-6059-5590,AAN-3140-2020,6602123722,,
32,39,Чернов Игорь Викторович,0000-0002-8776-3064,AAN-3455-2020,56938131300,,
33,40,Галяев Андрей Алексеевич,0000-0001-6494-6880,B-2131-2017,12760290200,,
34,41,Толок Алексей Вячеславович,0000-0002-7257-9029,V-7594-2019,28268055700,,
35,43,Бахтадзе Наталья Николаевна,0000-0001-9319-6951,P-7164-2017,6603467848,,
36,44,Калашников Андрей Олегович,0000-0001-5204-1398,P-7164-2015,16066992300,,
37,45,Касаткин Сергей Иванович,0000-0003-4444-0473,,55906050800,,
38,46,Митришкин Юрий Владимирович,0000-0001-9936-4012,G-7886-2014,6603193121,,
39,47,Совлуков Александр Сергеевич,0000-0002-5241-5553,,6602579885,,
