,publ_id,publ_name,publ_name,publ_type,year
0,5013513,Об итеративной декомпозиции конечных вероятностных автоматов,Об итеративной декомпозиции конечных вероятностных автоматов,Статья,1974
1,16,Controlling Chaos by Predictive Control,Controlling Chaos by Predictive Control,Секционный доклад,2005
2,18,Синхронизация хаотических систем с помощью прогнозирующего управления,Синхронизация хаотических систем с помощью прогнозирующего управления,Статья,2005
3,26,Localization of Compact Invariant Sets of Nonlinear Systems With Appli-Cations to the Lanford System,Localization of Compact Invariant Sets of Nonlinear Systems With Appli-Cations to the Lanford System,Статья,2006
4,28,Основы предпроектного анализа организационных систем,Основы предпроектного анализа организационных систем,Книга,2005
5,32804,Использование семантических полей и научных карт при обработке научно-технической документации,Использование семантических полей и научных карт при обработке научно-технической документации,Тезисы доклада,2024
6,42,Формирование требований к характеристикам резервной системы управления,Формирование требований к характеристикам резервной системы управления,Секционный доклад,2006
7,45,Метод обеспечения работоспособности систем управления летательными аппаратами в условиях агрессивного внешнего воздействия,Метод обеспечения работоспособности систем управления летательными аппаратами в условиях агрессивного внешнего воздействия,Тезисы доклада,2006
8,46,Estimation of a Domain Containing All Invariant Compacts of the Lorenz System,Estimation of a Domain Containing All Invariant Compacts of the Lorenz System,Тезисы доклада,2006
9,60,Рандомизированные алгоритмы решения выпуклых неравенств,Рандомизированные алгоритмы решения выпуклых неравенств,Статья,2005
10,65,Modeling of Business Systems Dynamic Development,Modeling of Business Systems Dynamic Development,Секционный доклад,2007
11,87,Стабилизация хаоса с помощью прогнозирующего управления,Стабилизация хаоса с помощью прогнозирующего управления,Статья,2005
12,32859,Features of magnetoresistance of straintronics element in the presence of bistable magnetic states,Features of magnetoresistance of straintronics element in the presence of bistable magnetic states,Статья,2024
13,5013602,Об одном методе информационного поиска для автоматизированных систем управления,Об одном методе информационного поиска для автоматизированных систем управления,Статья,1974
14,32871,Модели системной динамики для управления дорожно-транспортной системой мегаполиса,Модели системной динамики для управления дорожно-транспортной системой мегаполиса,Статья,2024
15,32873,Оптимизационно-имитационный подход к определению критических комбинаций параметров компаний,Оптимизационно-имитационный подход к определению критических комбинаций параметров компаний,Статья,2024
16,32875,Мощь организации: критерий рейтинга,Мощь организации: критерий рейтинга,Статья,2024
17,111,Интеллектуальный интерфейс для измерителя параметров цепей переменного тока,Интеллектуальный интерфейс для измерителя параметров цепей переменного тока,Секционный доклад,2005
18,112,О некоторых моделях качественных когнитивных карт с размытыми состояниями,О некоторых моделях качественных когнитивных карт с размытыми состояниями,Секционный доклад,2006
19,32888,О перераспределении целей между перехватчиками в динамической задаче коммивояжёра,О перераспределении целей между перехватчиками в динамической задаче коммивояжёра,Статья,2024
20,32892,Сценарное моделирование развития страны на основе индикативного планирования,Сценарное моделирование развития страны на основе индикативного планирования,Статья,2024
21,32894,Оценка синергизма целей при управлении киберфизическими производственными системами машиностроительного предприятия,Оценка синергизма целей при управлении киберфизическими производственными системами машиностроительного предприятия,Статья,2024
22,32900,Modeling and Characterization of the Air Transport System Using System Dynamics,Modeling and Characterization of the Air Transport System Using System Dynamics,Секционный доклад,2024
23,32901,Cyber-Physical System Development to Improve Energy Supply on Transport by Causal Approach,Cyber-Physical System Development to Improve Energy Supply on Transport by Causal Approach,Секционный доклад,2024
24,32903,Fast-Growing Companies Development Control,Fast-Growing Companies Development Control,Секционный доклад,2024
25,32904,Neural Network Development for Quality Analysis of ERP Systems,Neural Network Development for Quality Analysis of ERP Systems,Секционный доклад,2024
26,137,Технопарковые структуры и инновационное развитие Дальнего Востока России,Технопарковые структуры и инновационное развитие Дальнего Востока России,Секционный доклад,2006
27,32910,Управление развитием быстрорастущих компаний,Управление развитием быстрорастущих компаний,Секционный доклад,2024
28,32915,Развитие киберфизических систем обеспечения энергией на транспорте с помощью причинно-следственного подхода,Развитие киберфизических систем обеспечения энергией на транспорте с помощью причинно-следственного подхода,Секционный доклад,2024
29,148,Оформление оригинала рельефа,Оформление оригинала рельефа,Статья,2008
30,150,"Создание систем промышленной автоматизации – искусство, наука или ремесло, поэзия или проза","Создание систем промышленной автоматизации – искусство, наука или ремесло, поэзия или проза",Статья,2005
31,152,Свойства ядерной оценки с переменным окном для мультимодальной плотности вероятности,Свойства ядерной оценки с переменным окном для мультимодальной плотности вероятности,Секционный доклад,2006
