person1,person2,common_pubs
1024225,1022899,1
1024225,1023591,2
1024225,1021859,26
1024225,1021650,25
1024225,1023106,26
1024225,1022838,26
1024225,1023167,16
1024225,1024434,26
1024225,1022297,26
1024225,1022632,23
1024225,1022332,19
1024225,1022290,26
1024225,1021480,6
1024225,1021529,26
1024225,1023519,2
1024225,1023379,26
1024225,1024391,26
1024225,1023451,26
1024225,1024436,7
1024225,1023799,26
1024225,1022970,22
1024225,1022175,26
1024225,1022150,24
1024225,1022212,26
1024225,1023314,21
1024225,1023782,26
1024225,1022293,26
1024225,1024461,9
1024225,1023569,17
1024225,1022834,26
1024225,1022399,15
1024225,1034779,9
1024225,1021738,26
1024225,1021697,26
1024225,1021735,26
1024225,1021807,26
1024225,1022614,24
1024225,1022059,26
1024225,1023392,26
1024225,1021458,14
1024225,1023191,13
1024225,1023652,26
1024225,1021741,24
1024225,1023977,15
1024225,1023461,26
1024225,1022007,22
1024225,1034967,14
1024225,1024127,26
1024225,1022288,12
1024225,1021899,26
1024225,1022738,26
1024225,1022475,19
1024225,1021816,12
1024225,1022903,26
1024225,1024512,8
1024225,1023488,26
1024225,1022579,24
1024225,1022484,26
1024225,1022788,2
1024225,1027991,22
1024225,1025789,11
1024225,1021846,26
1024225,1021902,24
1024225,1023282,26
1024225,1034789,24
1024225,1023081,1
1024225,1022048,26
1024225,1023020,24
1024225,1021981,26
1024225,1023352,22
1024225,1023023,26
1024225,1024274,26
1024225,1022583,1
1024225,1034854,24
1024225,1023824,26
1024225,1022916,15
1024225,1023212,26
1024225,1022547,19
1024225,1022973,26
1024225,1028474,20
1024225,1022496,26
1024225,1023232,2
1024225,1024421,26
1024225,1022515,26
1024225,1021720,2
1024225,1021651,25
1024225,1023395,26
1024225,1028827,23
1024225,1022764,16
1024225,1023438,17
1024225,1029226,6
1024225,1023714,26
1024225,1022932,26
1024225,1023346,25
1024225,1034891,21
1024225,1022403,17
1024225,1022126,26
1024225,1023718,26
1024225,1022636,12
1024225,1024172,25
1024225,1022596,26
1024225,1022055,26
1024225,1023084,26
1024225,1028256,24
1024225,1022650,18
1024225,1021534,26
1024225,1021527,21
1024225,1022914,12
1024225,1023708,26
1024225,1023576,17
1024225,1021764,26
1024225,1022862,26
1024225,1021502,26
1024225,1021526,26
1024225,1023377,13
1024225,1022183,26
1024225,1022281,19
1024225,1023242,24
1024225,1023752,25
1024225,1021467,26
1024225,1021406,23
1024225,1022464,26
1024225,1022162,19
1024225,1023688,26
1024225,1022591,26
1024225,1022959,18
1024225,1022667,26
1024225,1022083,26
1024225,1027012,14
1024225,1024611,1
1024225,1023351,20
1024225,1021731,22
1024225,1027495,12
1024225,1021536,15
1024225,1021924,26
1024225,1023658,26
1024225,1023638,1
1024225,1022708,24
1024225,1022009,26
1024225,1023155,22
1024225,1022602,26
1024225,1022023,2
1024225,1022042,26
1024225,1021449,26
1024225,1022891,26
1024225,1021478,9
1024225,1022813,17
1024225,1022766,26
1024225,1022346,24
1024225,1024601,4
1024225,1022716,26
1024225,1023029,15
1024225,1021943,1
1024225,1022333,1
1024225,1023822,9
1024225,1023118,20
1024225,1022154,12
1024225,1025566,9
1024225,1022089,26
1024225,1022357,26
1024225,1022940,15
1024225,1022925,26
1024225,1023671,26
1024225,1024068,24
1024225,1027758,14
1024225,1021456,26
1024225,1024673,15
1024225,1035501,1
1024225,1022701,26
1024225,1023222,26
1024225,1021654,26
1024225,1023466,26
1024225,1022466,22
1024225,1022206,26
1024225,1022671,25
1024225,1023321,19
1024225,1021829,26
1024225,1023063,26
1024225,1023891,25
1024225,1021801,26
1024225,1021972,26
1024225,1021840,26
1024225,1024468,25
1024225,1022718,25
1024225,1000497,17
1024225,1022426,26
1024225,1022408,1
1024225,1034726,7
1024225,1022422,24
1024225,1023686,26
1024225,1022228,26
1024225,1022893,17
1024225,1022148,26
1024225,1021783,26
1024225,1022669,26
1024225,1021584,14
1024225,1023539,26
1024225,1023453,2
1024225,1022032,16
1024225,1021733,26
1024225,1021860,8
1024225,1022132,13
1024225,1026154,21
1024225,1023817,2
1024225,1021836,16
1024225,1022331,2
1024225,1022599,26
1024225,1024577,8
1024225,1021573,26
